GO:0034199,activation of protein kinase A activity,107 108 109 111 112 113 114 114 115 5566 5567 5568 5573 5575 5576 5577 7349 133619 196883
GO:0034198,cellular response to amino acid starvation,355 467 468 1026 1611 1611 1965 2475 3191 4217 5587 5594 5595 5599 5610 7351 8131 8131 8678 9451 9681 9681 10325 10641 10641 10670 10985 11133 23334 27244 51100 51520 54407 54468 55364 55846 64121 79726 81929 83667 84219 84557 92196 143686 144577 144577 154743 220441 220441 440275 440275
GO:0034197,triglyceride transport,350 948 1071 1071 4547 4547 6845
GO:2000830,positive regulation of parathyroid hormone secretion,2260
GO:2000836,positive regulation of androgen secretion,4824
GO:0030853,negative regulation of granulocyte differentiation,634 714 5914 8451 9370 140685
GO:0030850,prostate gland development,247 301 367 2288 2735 2737 5727 5914 6469 6599 6662
GO:0030851,granulocyte differentiation,863 1050 1053 1440 6670 6688 79576 84456 161882
GO:0030856,regulation of epithelial cell differentiation,247 429 2625 6777 84162 100133941
GO:0030857,negative regulation of epithelial cell differentiation,595 857 3458 6608 6662 6926 10413 28514 130497 574033 574474
GO:0030854,positive regulation of granulocyte differentiation,861 2124 2124 3059 10456 51176 51176 54997
GO:0030855,epithelial cell differentiation,37 230 307 307 310 310 655 839 873 983 1066 1200 1266 1282 1374 1394 1508 1645 1646 1747 1749 1750 1755 1755 1999 2263 2494 2535 2627 2938 2939 3189 3399 3850 3851 3958 5111 5230 5468 6495 6876 6899 6943 7041 7263 7348 7379 7379 7380 7416 7422 7429 7490 8321 8407 9317 10170 10591 11005 11045 26298 27284 50674 51458 54472 54825 55011 56033 56898 64122 81569 151449 373156
GO:0030858,positive regulation of epithelial cell differentiation,5080 6662 7480 8456
GO:0030859,polarized epithelial cell differentiation,8626 9231 10890
GO:0031106,septin ring organization,6242 54443
GO:0031104,dendrite regeneration,4147
GO:0031103,axon regeneration,596 1495 1605 1719 2348 2596 3670 3717 3725 4099 4548 9315 23162 83700 146760 349667 573971
GO:0031102,neuron projection regeneration,133 2670 4974 5792 8408
